,name,label,text
0,Ses01M_script02_2_M000,xxx,They're out there swimming right now...
1,Ses01M_script02_2_M001,exc,...to this spot for this massive celebration of like sex and death...
2,Ses01M_script02_2_M002,exc,"Look at this, my hairs are standing up my arm. I'm giving myself goose bumps."
3,Ses01M_script02_2_F000,neu,That's the wind.
4,Ses01M_script02_2_M003,exc,"Well, so?  What do you think?"
5,Ses01M_script02_2_F001,xxx,About what?
6,Ses01M_script02_2_M004,xxx,About what I was saying.
7,Ses01M_script02_2_F002,fru,I think it's ridiculous.
8,Ses01M_script02_2_M005,xxx,It certainly is not.  It's like slightly exaggerated scientific fact.
9,Ses01M_script02_2_F003,fru,It's a PR.
10,Ses01M_script02_2_F004,xxx,Somebody sold you a bill of goods that something amazing is going to happen on the beach.
11,Ses01M_script02_2_M006,fru,"It's not just me, okay?  Look at like all the people."
12,Ses01M_script02_2_F005,fru,They're all told the same thing.
13,Ses01M_script02_2_F006,fru,"Everybody is believes that it keeps them excited, you know it keeps them coming back for more."
14,Ses01M_script02_2_F007,fru,"Everybody keeps thinking that they can just find the right spot, you know they'll get it on the action."
15,Ses01M_script02_2_F008,fru,Their life will start then.
16,Ses01M_script02_2_M007,xxx,Are we talking about the same thing?
17,Ses01M_script02_2_F009,fru,I'm sorry it still just fish to me.
18,Ses01M_script02_2_M008,neu,Can I ask you a question?  Are you on your period?
19,Ses01M_script02_2_F010,ang,"Why do you ask me that?  God damn it, I told you not to ask me that I hate it when you ask me that. It's insulting."
20,Ses01M_script02_2_M009,xxx,"Okay, well then what's bugging you?"
21,Ses01M_script02_2_F011,ang,"I just, we just have different ideas of what this evening is supposed to look like."
22,Ses01M_script02_2_M010,fru,"Is not supposed to like anything.  We come down here, we look at the fish, they arrive, we go woo-ah fish."
23,Ses01M_script02_2_F012,fru,"Oh. Grow up Augie, the fish are not going to come."
24,Ses01M_script02_2_M011,xxx,And then we go home and they go home.
25,Ses01M_script02_2_M012,fru,Why not?
26,Ses01M_script02_2_F013,ang,"Because they never do.  Do they, have they ever?"
27,Ses01M_script02_2_M013,neu,We missed them twice.
28,Ses01M_script02_2_F014,ang,Twice is every year we've tried that's ever.
29,Ses01M_script02_2_M014,fru,"Okay we'll see them this year, this is a much better spot. Trust me."
30,Ses01M_script02_2_F015,ang,No we won't.  It's pointless it's like a waiting up to see Santa Claus.
31,Ses01M_script02_2_F016,ang,"I feel like my whole life is going to be spent here on the beach with my eyes wide open and my hands clasped expectantly, waiting for fish to show up and the fish never show."
32,Ses01M_script02_2_M015,fru,"Okay, I'm trying to work this backwards"
33,Ses01M_script02_2_F017,fru,You don't understand anything I'm saying.
34,Ses01M_script02_2_M016,fru,and figure out where we took a turn to the worst thing.
35,Ses01M_script02_2_M017,fru,Of course not.
36,Ses01M_script02_2_F018,xxx,"I did want to see it I still do, I always do.  I keep thinking that this time will be the time but it just never is."
37,Ses01M_script02_2_M018,fru,"Okay.  I'm trying to work this backwards here and I'm trying to figure out the exact moment that you took a turn for the worst here, now."
38,Ses01M_script02_2_M019,neu,"you were fine during the phone call from Marge, dinner was okay, doing the dishes was fine."
