name,label,state
dia0_utt0,neutral,train
dia0_utt1,neutral,train
dia0_utt2,neutral,train
dia0_utt3,neutral,train
dia0_utt4,surprise,train
dia0_utt5,neutral,train
dia0_utt6,neutral,train
dia0_utt7,neutral,train
dia0_utt8,neutral,train
dia0_utt9,neutral,train
dia0_utt10,fear,train
dia0_utt11,neutral,train
dia0_utt12,surprise,train
dia0_utt13,neutral,train
dia1_utt0,surprise,train
dia1_utt1,sadness,train
dia1_utt2,surprise,train
dia1_utt3,fear,train
dia1_utt4,neutral,train
dia1_utt5,neutral,train
dia1_utt8,neutral,train
dia2_utt0,neutral,train
dia2_utt1,neutral,train
dia2_utt2,joy,train
dia2_utt3,sadness,train
dia2_utt4,surprise,train
dia2_utt5,neutral,train
dia2_utt6,disgust,train
dia2_utt7,sadness,train
dia2_utt8,neutral,train
dia2_utt9,neutral,train
dia2_utt10,joy,train
dia2_utt11,neutral,train
dia2_utt12,joy,train
dia3_utt0,surprise,train
dia3_utt1,surprise,train
dia3_utt2,surprise,train
dia3_utt3,neutral,train
dia3_utt4,neutral,train
dia3_utt5,neutral,train
dia3_utt6,surprise,train
dia3_utt8,sadness,train
dia3_utt9,neutral,train
dia4_utt0,surprise,train
dia4_utt1,joy,train
dia4_utt2,surprise,train
dia4_utt3,neutral,train
dia4_utt4,neutral,train
dia4_utt5,neutral,train
dia4_utt6,neutral,train
dia4_utt7,neutral,train
dia4_utt8,joy,train
dia4_utt9,joy,train
dia4_utt10,joy,train
dia4_utt11,sadness,train
dia4_utt12,neutral,train
dia4_utt13,neutral,train
dia4_utt14,neutral,train
dia5_utt0,neutral,train
dia5_utt1,neutral,train
dia5_utt2,neutral,train
dia5_utt3,surprise,train
dia6_utt0,joy,train
dia6_utt1,surprise,train
dia6_utt2,joy,train
dia6_utt3,neutral,train
dia6_utt4,neutral,train
dia6_utt5,anger,train
dia6_utt6,joy,train
dia6_utt7,neutral,train
dia6_utt8,surprise,train
dia6_utt9,anger,train
dia6_utt10,anger,train
dia6_utt11,anger,train
dia6_utt12,neutral,train
dia6_utt13,neutral,train
dia6_utt14,sadness,train
dia6_utt15,sadness,train
dia6_utt16,sadness,train
dia6_utt17,surprise,train
dia6_utt18,anger,train
dia6_utt19,anger,train
dia6_utt20,anger,train
dia6_utt21,anger,train
dia7_utt0,neutral,train
dia7_utt1,anger,train
dia8_utt0,neutral,train
dia8_utt1,neutral,train
dia8_utt2,neutral,train
dia8_utt3,neutral,train
dia8_utt4,joy,train
dia8_utt5,neutral,train
dia9_utt0,neutral,train
dia9_utt1,neutral,train
dia9_utt2,neutral,train
dia9_utt3,joy,train
dia9_utt4,neutral,train
dia9_utt5,neutral,train
dia9_utt6,neutral,train
dia9_utt7,neutral,train
dia9_utt8,neutral,train
dia9_utt9,joy,train
dia9_utt10,neutral,train
dia9_utt11,neutral,train
dia9_utt12,disgust,train
dia9_utt13,anger,train
dia10_utt0,anger,train
dia10_utt1,anger,train
dia10_utt2,anger,train
dia10_utt3,anger,train
dia10_utt4,anger,train
dia10_utt5,neutral,train
dia11_utt0,neutral,train
dia11_utt1,anger,train
dia11_utt2,neutral,train
dia11_utt3,joy,train
dia11_utt4,neutral,train
dia11_utt6,joy,train
dia11_utt7,joy,train
dia11_utt8,joy,train
dia11_utt9,joy,train
dia12_utt0,neutral,train
dia12_utt1,joy,train
dia12_utt2,disgust,train
dia12_utt3,surprise,train
dia12_utt4,disgust,train
dia12_utt5,neutral,train
dia12_utt6,fear,train
dia12_utt7,neutral,train
dia12_utt8,surprise,train
dia12_utt9,fear,train
dia12_utt10,disgust,train
dia12_utt11,anger,train
dia13_utt0,joy,train
dia13_utt1,neutral,train
dia13_utt2,surprise,train
dia13_utt3,neutral,train
dia14_utt0,neutral,train
dia14_utt1,neutral,train
dia14_utt2,neutral,train
dia14_utt3,surprise,train
dia14_utt4,neutral,train
dia14_utt5,neutral,train
dia15_utt0,anger,train
dia15_utt1,neutral,train
dia15_utt2,neutral,train
dia15_utt3,sadness,train
dia15_utt4,surprise,train
dia15_utt5,sadness,train
dia15_utt6,anger,train
dia15_utt7,sadness,train
dia15_utt8,neutral,train
dia15_utt9,sadness,train
dia15_utt10,neutral,train
dia15_utt11,neutral,train
dia15_utt12,neutral,train
dia15_utt13,neutral,train
dia15_utt14,neutral,train
dia15_utt15,joy,train
dia15_utt16,anger,train
dia15_utt17,anger,train
dia15_utt18,anger,train
dia15_utt19,neutral,train
dia15_utt20,anger,train
dia15_utt21,joy,train
dia15_utt22,joy,train
dia16_utt0,joy,train
dia16_utt1,joy,train
dia16_utt2,disgust,train
dia16_utt3,surprise,train
dia16_utt4,neutral,train
dia16_utt5,neutral,train
dia17_utt0,anger,train
dia17_utt1,joy,train
dia17_utt2,neutral,train
dia17_utt3,neutral,train
dia17_utt4,fear,train
dia17_utt5,neutral,train
dia17_utt6,fear,train
dia17_utt7,joy,train
dia17_utt8,joy,train
dia17_utt9,joy,train
dia17_utt10,joy,train
dia18_utt0,neutral,train
dia18_utt1,neutral,train
dia18_utt2,neutral,train
